index,text,true_codes,pred_codes,missing,extra,confidence
66,"поставщик обязуется передать заказчику обусловленный контрактом срок, заказчик обязуется принять оплатить товар, перечисленный приложении контракту «сведения объектах закупки» (далее - товар), порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз:223502716869850270100101750013250000. комплектность, технические, функциональные качественные характеристики, ...",['32'],[],['32'],[],0.3314930200576782
67,". . поставщик обязуется передать собственность продукты питания (продукция мукомольно-крупяного производства, крахмалы крахмалопродукты) 2022 год (далее - товар) заказчику обусловленный настоящим контрактом срок, соответствии описанием объекта закупки (далее – спецификация) (приложение № настоящему контракту) техническим заданием (приложение настоящему контракту), заказчик обязуется принять оплати...","['01', '10']",['10'],['01'],[],0.9995232820510864
68,"договор № 0356500000922000139 выполнение работ текущему ремонту помещений поликлиниках: . пушкарская, , . ким, , . ким, . пермь\ « »октября 2022г. государственное бюджетное учреждение здравоохранения пермского края \",['43'],['42'],['43'],['42'],0.8961777687072754
69,". . поставщик обязуется поставить аппараты -телефонии ( ) (далее - товар), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . наименование, количество иные характеристики поставляемого товара указаны спецификации (приложение контракту), являющейся неотъемлемой частью контракта.",['26'],"['26', '27']",[],['27'],0.8368608355522156
71,"исполнитель обязуется оказать услуги предоставлению аренду автосамосвалов (далее - услуга), установленных настоящим контрактом, заказчик обязуется принять оплатить оказанные услуги условиях, установленных настоящим контрактом. объем оказываемых услуг, требования качеству порядку оказания услуг определяются техническим заданием (приложение № контракту), иными приложениями настоящему контракту, явля...",['77'],[],['77'],[],0.26482006907463074
74,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку медицинских изделий (код окпд – . . .130) (далее - товар) соответствии спецификацией (приложение № контракту) надлежащим образом оказать услуги доставке, разгрузке товара (далее - услуги), заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленный товар н...",['17'],['32'],['17'],['32'],0.6114583015441895
76,". . поставщик обязуется осуществить поставку канцелярских товаров (далее – товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение № настоящему контракту), информации товаре (приложение № настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование количество поставляемого товара указан...",['22'],['17'],['22'],['17'],0.6903140544891357
80,"подрядчик обязуется выполнить комплекс работ проведению государственной историко-культурной экспертизы земельного участка, отведенного под строительство объекта: здание многофункционального центра (мфц) подготовки кадров для предприятий апк базе кгбпоу «уярский сельскохозяйственный техникум» земельном участке кгбпоу «уярский сельскохозяйственный техникум» (далее – объект). подрядчик обязуется выпо...",['74'],['71'],['74'],['71'],0.867908775806427
82,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку оборудования аппарат для изготовления пластиночных протезов методом термолитьевого прессования термопресс . (код окпд – . . .140) (далее - оборудование) соответствии спецификацией (приложение № контракту) надлежащим образом оказать услуги доставке, разгрузке, сборке, установке, монтажу, ...",['32'],['26'],['32'],['26'],0.9965096712112427
90,". . исполнитель обязуется оказать услуги техническому обслуживанию систем вентиляции 2023 год соответствии условиями контракта задания (приложение № контракту), являющегося неотъемлемой частью контракта, заказчик обязуется принять оплатить. . . характеристики, место, срок, объем оказываемых услуг установлены задании (приложение № контракту). .",['29'],['33'],['29'],['33'],0.9567370414733887
91,"соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку медицинских изделий (система реабилитационная интерактивная nirvana, принадлежностями) (код окпд . . .129) (далее – оборудование) соответствии спецификацией (приложение № контракту), надлежащим образом оказать услуги доставке, разгрузке, сборке, установке, монтажу, вводу эксплуатацию оборудо...",['32'],['26'],['32'],['26'],0.9998765587806702
103,"подрядчик обязуется собственными силами, своевременно условиях настоящего контракта выполнить работы капитальному ремонту флюорографического кабинета здании гбуз \",['41'],['43'],['41'],['43'],0.9647647738456726
113,"поставщик обязуется передать собственность продукты питания (бакалейную продукцию) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение № настоящему контракту) техническому заданию (приложение № настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование количество поставляемого товара ука...","['01', '10']",['10'],['01'],[],0.9073030352592468
116,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку реагента для уборки снежного наката, льда 2022 году для нужд спб гбуз «детская городская поликлиника № » (далее - товар) соответствии спецификацией (приложение № контракту) надлежащим образом оказать услуги доставке, разгрузке (далее - услуги), заказчик обязуется порядке сроки, предусмот...",['08'],['21'],['08'],['21'],0.9484509229660034
119,". исполнитель обязуется оказывать заказчику услуги отоплению, горячему водоснабжению, холодному водоснабжению водоотведению (далее коммунальные услуги) нежилое помещение площадью , . ., расположенное адресу: . москва, . тимирязевская, . (далее - помещение) объемах, предусмотренных приложением № которое является неотъемлемой частью настоящего договора. .",['35'],['56'],['35'],['56'],0.5314950346946716
124,. . настоящий контракт заключен итогам проведенного аукциона электронной форме (протокол рассмотрения единственной заявки участие электронном аукционе . .2021 №0156100013721000006- ). .,['56'],[],['56'],[],0.2780519425868988
125,". . поставщик обязуется поставить патч-панели (окпд2: . . «части комплектующие коммуникационного оборудования») (далее - товар), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . наименование, количество иные характеристики поставляемого товара указаны спецификации (приложение контракту), являющейся неотъемлемой частью контракта.",['26'],['27'],['26'],['27'],0.9681012630462646
130,". поставщик обязуется поставить стойки ограждения объеме, установленном техническом задании (приложении № контракту, являющимся его неотъемлемой частью) (далее – техническое задание), заказчик обязуется принять товар ( ) оплатить его ( ) порядке условиях, предусмотренных контрактом. . идентификационный код закупки: 222771861824477180100100610000000244 поставляемый товар должен быть новым товаром (...",['25'],['43'],['25'],['43'],0.7133049964904785
135,". . заказчик поручает, подрядчик обязуется выполнить работы нанесению горизонтальной дорожной разметки . шахтерская пгт. каа-хем (далее – работы) передать результат работ заказчику, заказчик обязуется принять результат работ, выполненных подрядчиком полном объеме сроки, установленные контрактом, оплатить обусловленную контрактом цену. . . работы настоящему контракту выполняются соответствии технич...",['42'],['43'],['42'],['43'],0.6495445966720581
140,". . предметом контракта является поставка обучающей развивающей литературы для государственного бюджетного дошкольного образовательного учреждения детский сад № красногвардейского района санкт-петербурга, для нужд санкт-петербурга 2022 году. . . основанием заключения настоящего контракта является протокол комиссии осуществлению закупок государственного бюджетного дошкольного образовательного учреж...",['58'],[],['58'],[],0.1909881979227066
144,". . поставщик обязуется поставить систему межсетевого экранирования (далее - товар), также обязуется выполнить его монтаж первоначальную настройку, государственный заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . наименование, количество иные характеристики поставляемого товара указаны спецификации (приложение контракту), являющейся неотъемлемой частью ко...","['58', '26']",['26'],['58'],[],0.9929424524307251
148,"договор № 1421 поставку медицинских изделий- идентификационный код закупки: 222111200122011120100101891892219244 государственное бюджетное учреждение здравоохранения республики коми «прилузская центральная районная больница», именуемое дальнейшем «заказчик», лице главного врача жуйкова станислава вячеславовича, действующего основании устава, одной стороны, общество ограниченной ответственностью «п...",['22'],['21'],['22'],['21'],0.6464636325836182
153,". . соответствии настоящим контрактом заказчик поручает, подрядчик принимает себя обязательство выполнению подрядных работ для нужд заказчика: благоустройству территории мбдоу «детский сад № » .находка, рамках капитального ремонта объеме сроки, предусмотренные настоящим контрактом (далее – работы), заказчик обязуется принять оплатить выполненные работы. . . подрядчик установленные контрактом сроки...",['43'],['42'],['43'],['42'],0.9682137966156006
156,". . исполнитель обязуется оказать услуги абонентскому техническому обслуживанию узла учета тепловой энергии для лениногорского квд 2023 год соответствии условиями контракта задания (приложение № контракту), являющегося неотъемлемой частью контракта, заказчик обязуется принять оплатить. . . характеристики, место, срок, объем оказываемых услуг, установлены задании (приложение № контракту). .",['43'],['33'],['43'],['33'],0.7804412245750427
158,"поставщик обязуется поставить зарядные устройства нанесением логотипа (далее - товар) соответствии техническим заданием (приложение № контракту, являющееся его неотъемлемой частью) (далее - техническое задание), объеме, установленном перечне поставляемого товара (спецификация) (далее - спецификация), являющейся приложением № техническому заданию, заказчик обязуется принять оплатить товар порядке у...",['26'],[],['26'],[],0.24414995312690735
159,". . предметом контракта является поставка карт для проведения проб кумбса (далее – товар) для нужд государственного учреждения здравоохранения саратовской области «балаковская районная поликлиника». . . поставщик обязуется поставить, заказчик – принять оплатить товар, наименование, технические характеристики, количество,",['20'],['21'],['20'],['21'],0.7762082815170288
166,". . поставщик обязуется передать собственность продукты питания (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение настоящему контракту), техническому заданию (приложение настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование поставляемого товара указаны спецификации...",['01'],['10'],['01'],['10'],0.8590553402900696
168,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку расходного материала для кдл (лот ) для нужд гбуз \",['32'],[],['32'],[],0.467231810092926
172,". . настоящему контракту исполнитель обязуется оказать заказчику услуги обеспечению функционирования официального информационного ресурса администрации города ставрополя согласно техническому заданию (приложение настоящему контракту), являющемуся неотъемлемой частью настоящего контракта. код общероссийскому классификатору продукции видам экономической деятельности (окпд2) 034-2014: . . .000 содерж...",['63'],['61'],['63'],['61'],0.7565110325813293
184,". . предметом контракта является поставка расходных материалов для лабораторий больницы(далее – товар) для нужд заказчика соответствии описанием объекта закупки (приложение № контракту) условиях, предусмотренных контрактом. идентификационный код закупки: 222541012717654100100100100060000244. . . поставка товара осуществляется поставщиком соответствии сзаконодательством российской федерации, требов...",['20'],['21'],['20'],['21'],0.8589821457862854
192,. . соответствии требованиями условиями настоящего контракта поставщик обязуется поставить передать собственность заказчика учебное оборудование программе реализации мероприятий модернизации школьных систем образования рамках государственной программы российской федерации \,['26'],['32'],['26'],['32'],0.5379815101623535
193,". . поставщик обязуется передать собственность продукты питания (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение настоящему контракту), техническому заданию (приложение настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование поставляемого товара указаны спецификации...",['01'],['10'],['01'],['10'],0.8092959523200989
198,"поставщик обязуется передать заказчику обусловленный контрактом срок, заказчик обязуется принять оплатить товар, перечисленный приложении контракту «сведения объектах закупки» (далее - товар), порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз:223500708955050070100100580013299244. комплектность, технические, функциональные качественные характеристики, ...",['32'],[],['32'],[],0.3774019777774811
206,"поставщик обязуется поставить товары для реализации мероприятий модернизации пищеблоков муниципальных общеобразовательных организациях, реализующих программы начального общего, основного общего среднего общего образования (далее - товар), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. наименование, количество иные характеристики поставляемого товара указаны...","['28', '27']",['27'],['28'],[],0.6863278746604919
210,". . соответствии договором поставщик обязуется порядке сроки, предусмотренные договором, осуществить поставку медицинских изделий (гель противоожоговый, стерильный) (код окпд2 – . . .199) (далее - товар) соответствии спецификацией (приложение договору), заказчик обязуется порядке сроки, предусмотренные договором, принять оплатить поставленный товар. .",['21'],['20'],['21'],['20'],0.8754785656929016
214,". . . поставщик обязуется порядке сроки, предусмотренные контрактом, передать собственность заказчика медицинские изделия для нужд спб гбуз \","['21', '32']",['32'],['21'],[],0.8552579879760742
218,". . поставщик обязуется передать собственность продукты питания (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение № настоящему контракту) техническому заданию (приложение № настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование количество поставляемого товара указан...",['01'],['10'],['01'],['10'],0.8523157835006714
221,"соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку медицинских изделий тележки медицинской для транспортировки трупа больничной палаты морг (код окпд - . . .190 ) (далее - оборудование) соответствии спецификацией (приложение № контракту) надлежащим образом оказать услуги доставке, разгрузке, сборке, установке, монтажу, вводу эксплуатацию обо...",['30'],['32'],['30'],['32'],0.9974343776702881
224,"поставщик обязуется передать заказчику обусловленный контрактом срок, заказчик обязуется принять оплатить товар, перечисленные приложении контракту «сведения объектах закупки» (далее - товар), порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз:222500800007250470100101360010000000. комплектность, технические, функциональные качественные характеристики, ...","['28', '25']",[],"['28', '25']",[],0.3513692319393158
225,". . поставщик обязуется передать собственность продукты питания (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение настоящему контракту) техническому заданию (приложение настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование количество поставляемого товара указаны сп...","['01', '10']",['10'],['01'],[],0.8540491461753845
232,". . предметом настоящего контракта является поставка мягкого инвентаря для нужд мбу цсо цимлянского района ростовской области (далее – товар). . . поставщик обязуется поставить заказчику товар срок, предусмотренный настоящим контрактом, заказчик обязуется принять оплатить товар условиях, предусмотренных настоящим контрактом. . . наименование, единица измерения, количество,","['13', '14']",[],"['13', '14']",[],0.31514403223991394
240,". . настоящему контракту поставщик обязуется поставить передать заказчику срок, предусмотренный настоящим контрактом, поставка расходных материалов ( лот) для патанатомии для нужд гбуз \",['13'],['32'],['13'],['32'],0.5124614238739014
244,". поставщик обязуется заданию заказчика поставить генераторы тумана для нужд гбук .москвы «ведогонь-театр» объеме, установленном техническом задании (приложении № контракту, являющимся его неотъемлемой частью) (далее – техническое задание), заказчик обязуется принять товар ( ) оплатить его ( ) порядке условиях, предусмотренных контрактом. . идентификационный код закупки: 22277350262487735010010070...",['27'],['28'],['27'],['28'],0.9951167702674866
251,". . исполнитель обязуется оказать государственную услугу «надомное обслуживание инвалидов граждан пожилого возраста» (далее - услуга), заказчик обязуется принять оплатить оказанные услуги условиях, установленных настоящим контрактом. . . требования качеству, порядку оказания услуг, результату услуг, также требования гарантии качества оказанных услуг, гарантийному сроку (или) объему предоставления ...",['88'],[],['88'],[],0.17057684063911438
252,". . подрядчик обязуется собственными силами своих материалов, использованием собственного( )/ арендованного( ) оборудования, техники персонала свой риск выполнить заданию заказчика техническое обслуживание текущий ремонт установок наружного освещения .северска внегородских территорий зато северск 2022 году (далее – работы) соответствии условиями, предусмотренными настоящим контрактом, том числе, в...",['33'],['43'],['33'],['43'],0.8281954526901245
253,". . настоящему контракту поставщик обязуется поставить кислород медицинский газо-образный (далее – товар), наименованиями, количестве цене, указанным спецификации (приложение № ), являющейся неотъемлемой частью настоящего контракта, заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . поставляемый товар должен соответствовать требованиям: - поставля...",['20'],['21'],['20'],['21'],0.5753965377807617
258,", срок место оказания услуг. . . исполнитель заданию заказчика обязуется оказать услуги организации проведению экскурсий для жителей муниципального образования поселок смолячково (далее – «услуги»), соответствии условиями настоящего контракта, техническим заданием оказание услуг, утвержденным заказчиком (приложение № контракту). . . заказчик обязуется принять обеспечить оплату надлежащим образом о...",['79'],[],['79'],[],0.32063984870910645
264,") . . поставщик обязуется поставить заказчику прибор отопительный электрический бытовой (тепловая завеса) (далее тексту – «товар») соответствии спецификацией, являющейся неотъемлемой частью контракта (приложение контракту), заказчик обязуется принять товар оплатить его порядке условиях контракта. . . наименование товара, товарный знак (его словесное обозначение) (при наличии), технические, качеств...",['27'],['26'],['27'],['26'],0.87319016456604
266,"соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку материалов стоматологических (ортопедия) (код окпд . . .120) (далее – «товар») соответствии спецификацией (приложение № контракту), заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленный товар. номенклатура товара его количество определяются спецификацией...",['20'],['32'],['20'],['32'],0.9816213846206665
268,. . . исполнитель обязуется оказать заказчику услуги организации конкурса культуре речи \,['93'],[],['93'],[],0.4552534520626068
270,". . исполнитель обязуется выполнить работы подготовке технической документации объекты «газопроводы» территории сабинского муниципального района республики татарстан соответствии условиями контракта задания (приложение № контракту), являющегося неотъемлемой частью контракта, заказчик обязуется принять оплатить. . . характеристики, место, срок, объем оказываемых услуг установлены задании (приложени...",['41'],['71'],['41'],['71'],0.8186120390892029
275,". . условиям контракта поставщик обязуется передать заказчику расходный материал (салфетки дезинфицирующие) (далее – товар), количество, общая единичная",['32'],['20'],['32'],['20'],0.6296624541282654
286,"государственный контракт поставку канцелярских товаров (маркеры) № - . якутск \ \ \ \ \ \ \ \ \ « » ноября 2022 . министерство развитию арктики делам народов севера республики саха (якутия), именуемое дальнейшем «заказчик», лице министра черноградского владимира николаевича, действующего основании положения, одной стороны, общество ограниченной ответственностью \",['32'],[],['32'],[],0.4309782385826111
291,". . поставщик обязуется поставить быстровозводимые сооружения для создания резервов материальных ресурсов для ликвидации чрезвычайных ситуаций межмуниципального регионального характера (далее - товар), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . наименование, количество иные характеристики поставляемого товара указаны спецификации (приложение № контр...",['25'],[],['25'],[],0.2942328155040741
292,". . поставщик обязуется передать собственность продукты питания (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение настоящему контракту) техническому заданию (приложение настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование количество поставляемого товара указаны сп...","['01', '10']",['10'],['01'],[],0.8540491461753845
299,". . поставщик обязуется поставить заказчику хозяйственные товары (далее – товар) порядке условиях контракта технического задания, являющегося приложением № контракту (далее – техническое задание), количестве, цене ассортименте, предусмотренном спецификации, являющейся приложением № контракту (далее – спецификация), отступая при этом требований количеству, качеству, функциональным, техническим, экс...",['22'],['20'],['22'],['20'],0.5174521207809448
307,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку расходных материалов для пцр-диагностики (код окпд – . . .190) (далее – товар) соответствии спецификацией (приложение № контракту), заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленный товар. . . товар его количество определяются спецификацией (прил...",['22'],['32'],['22'],['32'],0.9524194002151489
311,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку медицинских изделий (код окпд – . . .122) (далее – медицинские изделия) соответствии спецификацией (приложение № контракту), заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленные медицинские изделия надлежащим образом оказанные услуги. . . номенклату...",['32'],['26'],['32'],['26'],0.9772348403930664
319,". . поставщик обязуется поставить, заказчик принять оплатить порядке условиях, определенных настоящим контрактом, масла технические жидкости (далее именуемый товар), согласно спецификации (приложение № ). икз: 223332910055833290100100680010000244. источник финансирования: бюджет города владимира, утвержденный решением совета народных депутатов города владимир . .2021 №120 « бюджете города 2022 год...","['20', '19']",['19'],['20'],[],0.7081669569015503
326,". . поставщик обязуется поставить канцелярские товары, лот (далее - товар), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . наименование, количество иные характеристики поставляемого товара указаны техническом задании (приложение № контракту) спецификации (приложение № контракту), являющихся неотъемлемой частью контракта.","['20', '22', '17']",['17'],"['20', '22']",[],0.657389760017395
329,"исполнитель обязуется обусловленные контрактом сроки оказать заказчику услуги , перечисленные приложении контракту «сведения объекте закупки» (далее – услуги), заказчик обязуется принять оплатить услуги, порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз: 213502202879250220100100560018110244. перечень объем услуг, подлежащих оказанию, требования качест...",['81'],[],['81'],[],0.13076341152191162
331,". . поставщик принимает себя обязательства поставить витрину холодильную (вертикальную) для нужд филиала фгбу «цлати северо-западному » - «цлати республике коми» (далее - товар), соответствии спецификацией (приложение№ ) техническим заданием (приложение № ), являющимися неотъемлемой частью контракта, заказчик обязуется принять оплатить данный товар установленные настоящим контрактом сроки. . . икз...",['28'],['26'],['28'],['26'],0.8197823166847229
332,". . условиям контракта поставщик обязуется поставить заказчику товар, общая единичная",['32'],[],['32'],[],0.1955716609954834
337,". . поставщик обязуется поставить технические средства реабилитации для обеспечения инвалидов, детей-инвалидов (далее - товар), заказчик обязуется принять оплатить поставленный товар. . . количество, наименование страна происхождения поставляемого товара указаны спецификации (приложение № контракту), требования поставляемому товару установлены техническим заданием (приложение № контракту), иными п...","['32', '26']",['32'],['26'],[],0.9970989227294922
342,". . . настоящему контракту подрядчик обязуется выполнить работы благоустройству дворовых территорий мкр.луговой . , , , рамках реализации мероприятий плана социального развития центров экономического роста забайкальского края (далее – объект) соответствии техническим заданием (приложение № настоящему контракту); ведомостью объемов конструктивных решений (элементов) комплексов (видов) работ (прилож...",['42'],['43'],['42'],['43'],0.947001039981842
343,". . поставщик обязуется передать буз вокб № 1прочие материальные запасы (далее – товар) количестве ассортименте, сроки соответствии настоящим контрактом сумму 474 174 руб. коп. (четыреста семьдесят четыре тысячи сто семьдесят четыре рубля копейки), том числе: 118 860 руб. коп. счет средств омс, том числе: кбк 821 0901 01д0400590 244 346 сумму 540 руб. коп. кбк 821 0901 0121000590 244 346 сумму 320...",['20'],"['20', '17']",[],['17'],0.6889426708221436
345,"поставщик обязуется передать заказчику обусловленный контрактом срок, заказчик обязуется принять оплатить товар, перечисленный приложении контракту «сведения объектах закупки» (далее - товар), порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз:222503209983450320100100410010000244. комплектность, технические, функциональные качественные характеристики, ...",['32'],[],['32'],[],0.3774019777774811
346,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку блока abs (гидроагрегата) для нужд санкт-петербургского государственного бюджетного профессионального образовательного учреждения «автомеханический колледж» (далее – учреждение) 2022 году (далее - товар) соответствии спецификацией (приложение № контракту), заказчик обязуется порядке срок...",['29'],[],['29'],[],0.2703390121459961
349,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку медицинских изделий: реагентов для лаборатории (код окпд – . . .190; . . .110) (далее – медицинские изделия, товар) соответствии спецификацией (приложение № контракту) надлежащим образом оказать услуги доставке разгрузке медицинских изделий, заказчик обязуется порядке сроки, предусмотрен...","['21', '32']",['21'],['32'],[],0.9960193037986755
350,". . поставщик обязуется передать собственность продукты питания (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение № настоящему контракту) техническому заданию (приложение № настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование количество поставляемого товара указан...","['01', '10']",['10'],['01'],[],0.8523158431053162
357,". . государственный заказчик поручает, поставщик принимает себя обязательства поставке (тушка цыплят-бройлеров) (далее – товар) адрес государственного заказчика количестве качестве, указанном спецификации (приложение № ), являющемся неотъемлемой частью настоящего контракта. . количество,",['10'],['26'],['10'],['26'],0.8916221857070923
361,". . подрядчик установленные сроки, согласно контракту, обязуется выполнить все предусмотренные проектной документацией строительно-монтажные работы иные предусмотренные контрактом мероприятия, указанного пункте . контракта (далее – работы, объект), передать объект заказчику, заказчик обязуется принять объект уплатить определенную контрактом цену. . . описание объекта: «капитальный ремонт здания га...",['43'],['41'],['43'],['41'],0.8898170590400696
362,". . подрядчик принимает себя обязательство выполнению работ установке металлических дверей адресу: . челябинск . дзержинского (далее – работа), заказчик обязуется принять оплатить работы, выполненные надлежащим образом. .",['43'],['41'],['43'],['41'],0.937389075756073
363,". .поставщик обязуется приобрести, поставить передать собственность заказчика условиях настоящего контракта сувениры символикой поселок шушары для поздравления праздничными датами жителей, проживающих территории поселок шушары (далее – товар) согласно спецификации, являющейся неотъемлемой частью настоящего контракта (приложение настоящему контракту), заказчик обязуется оплатить товар соответствии ...","['32', '17']",['17'],['32'],[],0.8994927406311035
369,") . . исполнитель обязуется оказать услуги проведению технической экспертизы оценки) определению пригодности транспортных средств эксплуатации экономической целесообразности проведения восстановительного ремонта (далее – услуги), согласно технического задания (приложение № контракту), являющимся неотъемлемой частью контракта, заказчик обязуется принять оплатить оказанные услуги порядке условиях, п...",['74'],['71'],['74'],['71'],0.9518879055976868
